,Energy
2002-04-01,5271.173913043478
2002-04-02,5310.416666666667
2002-04-03,5325.916666666667
2002-04-04,5670.791666666667
2002-04-05,5686.125
2002-04-06,5367.791666666667
2002-04-07,5052.479166666667
2002-04-08,5283.875
2002-04-09,5136.083333333333
2002-04-10,5171.666666666667
2002-04-11,5207.875
2002-04-12,5090.416666666667
2002-04-13,4586.208333333333
2002-04-14,4401.333333333333
2002-04-15,5121.333333333333
2002-04-16,5496.0
2002-04-17,5712.625
2002-04-18,5726.041666666667
2002-04-19,5592.041666666667
2002-04-20,4704.583333333333
2002-04-21,4426.666666666667
2002-04-22,5187.625
2002-04-23,5345.458333333333
2002-04-24,5340.0
2002-04-25,5182.0
2002-04-26,5125.333333333333
2002-04-27,4705.083333333333
2002-04-28,4452.333333333333
2002-04-29,5221.666666666667
2002-04-30,5230.0
2002-05-01,5112.75
2002-05-02,5202.5
2002-05-03,4975.125
2002-05-04,4676.833333333333
2002-05-05,4461.875
2002-05-06,5081.75
2002-05-07,5194.125
2002-05-08,5236.583333333333
2002-05-09,5290.375
2002-05-10,5068.416666666667
2002-05-11,4525.25
2002-05-12,4400.166666666667
2002-05-13,5243.083333333333
2002-05-14,5200.083333333333
2002-05-15,5223.833333333333
2002-05-16,5209.125
2002-05-17,5137.916666666667
2002-05-18,4735.333333333333
2002-05-19,4665.208333333333
2002-05-20,5293.125
2002-05-21,5377.0
2002-05-22,5331.125
2002-05-23,5243.75
2002-05-24,5184.541666666667
2002-05-25,4620.666666666667
2002-05-26,4483.0
2002-05-27,4662.791666666667
2002-05-28,5418.0
2002-05-29,5611.125
2002-05-30,5875.916666666667
2002-05-31,5896.541666666667
2002-06-01,5379.875
2002-06-02,4883.875
2002-06-03,5304.416666666667
2002-06-04,5770.208333333333
2002-06-05,6194.041666666667
2002-06-06,5699.375
2002-06-07,5329.75
2002-06-08,4986.5
2002-06-09,5074.291666666667
2002-06-10,6193.0
2002-06-11,6459.375
2002-06-12,6312.875
2002-06-13,5962.125
2002-06-14,5557.5
2002-06-15,4785.75
2002-06-16,4553.916666666667
2002-06-17,5280.125
2002-06-18,5387.75
2002-06-19,5644.541666666667
2002-06-20,5902.833333333333
2002-06-21,5921.458333333333
2002-06-22,5543.166666666667
2002-06-23,5560.041666666667
2002-06-24,6424.75
2002-06-25,6642.958333333333
2002-06-26,6597.958333333333
2002-06-27,6328.041666666667
2002-06-28,5864.041666666667
2002-06-29,5531.458333333333
2002-06-30,5494.458333333333
2002-07-01,6250.833333333333
2002-07-02,6647.958333333333
2002-07-03,6784.166666666667
2002-07-04,6158.625
2002-07-05,5961.5
2002-07-06,5119.458333333333
2002-07-07,4954.541666666667
2002-07-08,6041.541666666667
2002-07-09,6389.916666666667
2002-07-10,6105.958333333333
2002-07-11,5521.5
2002-07-12,5455.541666666667
2002-07-13,5055.625
2002-07-14,5092.25
2002-07-15,6168.875
2002-07-16,6452.125
2002-07-17,6642.375
2002-07-18,6682.375
2002-07-19,6263.791666666667
2002-07-20,5808.416666666667
2002-07-21,5827.833333333333
2002-07-22,6813.666666666667
2002-07-23,6712.541666666667
2002-07-24,6077.375
2002-07-25,5923.5
2002-07-26,5810.625
2002-07-27,5638.291666666667
2002-07-28,6061.041666666667
2002-07-29,7031.125
2002-07-30,6825.333333333333
2002-07-31,6755.5
2002-08-01,6844.416666666667
2002-08-02,6828.125
2002-08-03,6333.666666666667
2002-08-04,6041.625
2002-08-05,6633.0
2002-08-06,5808.166666666667
2002-08-07,5385.166666666667
2002-08-08,5432.916666666667
2002-08-09,5581.25
2002-08-10,5477.083333333333
2002-08-11,5664.708333333333
2002-08-12,6529.958333333333
2002-08-13,6608.541666666667
2002-08-14,6859.0
2002-08-15,6762.208333333333
2002-08-16,6549.166666666667
2002-08-17,6057.458333333333
2002-08-18,5960.208333333333
2002-08-19,6518.0
2002-08-20,6338.125
2002-08-21,6157.541666666667
2002-08-22,6558.041666666667
2002-08-23,6567.958333333333
2002-08-24,5901.458333333333
2002-08-25,5444.541666666667
2002-08-26,5849.791666666667
2002-08-27,5934.791666666667
2002-08-28,5643.416666666667
2002-08-29,5436.333333333333
2002-08-30,5365.166666666667
2002-08-31,4909.375
2002-09-01,4649.041666666667
2002-09-02,4874.375
2002-09-03,6052.958333333333
2002-09-04,6235.125
2002-09-05,5802.875
2002-09-06,5683.208333333333
2002-09-07,5357.666666666667
2002-09-08,5280.541666666667
2002-09-09,5945.666666666667
2002-09-10,6085.375
